class_idx,k_code,name,bbox,img_count,angle_70,angle_75,angle_90,shape,color,print_front,print_back
0,K-001900,보령부스파정 5mg,51,51,17,17,17,장방형,하양,BSP,5
1,K-002483,뮤테란캡슐 100mg,51,51,17,17,17,장방형,초록,Hanwha MUC100,
2,K-003351,일양하이트린정 2mg,157,157,47,50,60,원형,주황,I Y,HT
3,K-003483,기넥신에프정(은행엽엑스)(수출용),45,51,17,17,17,장방형,초록,,G40
4,K-003544,무코스타정(레바미피드)(비매품),51,51,17,17,17,원형,하양,OG33,
5,K-003743,알드린정,51,51,17,17,17,원형,하양,ALT,
6,K-003832,뉴로메드정(옥시라세탐),51,51,17,17,17,장방형,하양,NR800,
7,K-004543,에어탈정(아세클로페낙),51,52,17,17,18,원형,하양,Airtal,
8,K-012081,리렉스펜정 300mg/PTP,51,51,17,17,17,장방형,하양,HMP,RP
9,K-012247,아빌리파이정 10mg,51,51,17,17,17,장방형,분홍,A-008 10,
10,K-012778,다보타민큐정 10mg/병,51,51,17,17,17,타원형,갈색,Y H,
11,K-013395,써스펜8시간이알서방정 650mg,51,51,17,17,17,장방형,하양,SUSPEN,
12,K-013900,에빅사정(메만틴염산염)(비매품),51,51,17,17,17,타원형,노랑,M,1 0
13,K-016232,리피토정 20mg,51,52,18,17,17,원형,하양,ATV,20
14,K-016262,크레스토정 20mg,51,51,17,17,17,원형,분홍,ZD452220,
15,K-016548,가바토파정 100mg,51,51,17,17,17,원형,주황,GB,
16,K-016551,동아가바펜틴정 800mg,51,51,17,17,17,타원형,하양,DGTH,800
17,K-016688,오마코연질캡슐(오메가-3-산에틸에스테르90),51,51,17,6,28,장방형,노랑, 투명,OMACOR
18,K-018147,리리카캡슐 150mg,51,51,17,17,17,장방형,하양,Pfizer PGN    150,
19,K-018357,종근당글리아티린연질캡슐(콜린알포세레이트),51,51,17,17,17,타원형,갈색,GLT400,
20,K-019232,콜리네이트연질캡슐 400mg,17,51,17,17,17,타원형,갈색,HM-CN,
21,K-019552,트루비타정 60mg/병,51,52,17,18,17,타원형,갈색,YH,TV
22,K-019607,스토가정 10mg,51,51,17,17,17,원형,하양,FZ12,
23,K-019861,노바스크정 5mg,51,51,17,17,17,팔각형,하양,Pfizer,NV 5
24,K-020014,마도파정,51,51,17,17,17,원형,분홍,RO C HE Roche,
25,K-020238,플라빅스정 75mg,51,52,17,18,17,원형,분홍,,1171
26,K-020877,엑스포지정 5/160mg,51,51,17,17,17,타원형,노랑,NVR,ECE
27,K-021325,아토르바정 10mg,51,51,17,17,17,타원형,하양,YH,10
28,K-021771,라비에트정 20mg,51,51,17,17,17,원형,노랑,ID20,
29,K-022074,리피로우정 20mg,51,52,18,17,17,원형,하양,LPL,20
30,K-022347,자누비아정 50mg,51,52,17,18,17,원형,주황,112,
31,K-022362,맥시부펜이알정 300mg,51,51,17,17,17,장방형,하양,MX,
32,K-024850,놀텍정 10mg,51,52,17,17,18,타원형,주황,Noltec 10,
